id,user.id,user.login,user.observations_count,user.identifications_count,user.created_at,observed_on,place.id,city,location.lat,location.lon,mappable,taxon.id,taxon.name,taxon.rank,quality_grade
22482904,899052,arialunderthesea,467,594,2018-04-25T16:46:03+00:00,4/14/2019,54321,San Francisco Bay Area,37.4636126,-122.2837572,TRUE,532267,Rusavskia elegans,species,needs_id
22480267,242882,kingman,2129,302,2016-05-20T04:21:56+00:00,4/14/2019,NA,NA,39.17845333,-123.65947,TRUE,118245,Lichenomphalia umbellifera,species,research
22474796,6971,silversea_starsong,59485,74335,2012-05-28T22:23:54+00:00,4/12/2019,NA,NA,34.06384071,-119.913063,TRUE,147234,Niebla,genus,needs_id
22472299,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.44084167,-119.711555,TRUE,123230,Xanthoparmelia cumberlandia,species,research
22472203,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.44084167,-119.711555,TRUE,233708,Xanthoparmelia mexicana,species,research
22472111,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.43976167,-119.7108533,TRUE,212280,Acarospora socialis,species,research
22471969,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.43983833,-119.710395,TRUE,117925,Buellia,genus,needs_id
22471789,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.44079167,-119.70903,TRUE,117892,Parmotrema reticulatum,species,research
22471469,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.44091167,-119.7089217,TRUE,117943,Flavoparmelia caperata,species,research
22471194,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.43948333,-119.7053667,TRUE,123230,Xanthoparmelia cumberlandia,species,needs_id
22471153,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.439075,-119.69915,TRUE,148365,Flavoparmelia baltimorensis,species,needs_id
22471128,1487056,noahgaines,2509,1060,2019-02-22T04:48:40+00:00,4/14/2019,NA,NA,34.43910333,-119.69905,TRUE,148365,Flavoparmelia baltimorensis,species,research
22470025,3204,amybird,1103,56,2011-10-09T16:09:07+00:00,4/13/2019,NA,NA,36.56201667,-121.8647833,TRUE,49578,Ramalina menziesii,species,needs_id
22469163,1448852,bradye,20,6,2019-01-28T19:03:13+00:00,4/13/2019,NA,NA,40.86113,-124.0931862,TRUE,55576,Xanthoria parietina,species,needs_id
22465002,209572,truthseqr,21726,16591,2016-04-03T21:40:29+00:00,4/13/2019,54321,San Francisco Bay Area,37.190823,-121.841217,TRUE,123175,Evernia prunastri,species,research
22463804,1044785,bacpab,27,0,2018-06-24T20:43:50+00:00,4/14/2019,54321,San Francisco Bay Area,37.63583632,-122.0496448,TRUE,123230,Xanthoparmelia cumberlandia,species,needs_id
22462378,209572,truthseqr,21726,16591,2016-04-03T21:40:29+00:00,4/13/2019,54321,San Francisco Bay Area,37.189713,-121.843315,TRUE,55576,Xanthoria parietina,species,research
22462368,209572,truthseqr,21726,16591,2016-04-03T21:40:29+00:00,4/13/2019,54321,San Francisco Bay Area,37.188953,-121.843002,TRUE,123175,Evernia prunastri,species,research
