"City","Year","Period","n_obs","n_obs_RG","n_taxa","n_users","n_obs_all","taxa"
"Brasília, Brasil",2021,"before",1,1,1,1,460,"1393892"
"Brasília, Brasil",2021,"during",12,0,7,6,3643,"463344 69430 182631 117943 175440 117867 117942 117938 229702"
"Brasília, Brasil",2022,"during",2,1,2,2,2196,"229702 55576"
"Brasília, Brasil",2022,"after",1,0,1,1,398,"67747"
"Brighton, Sussex, UK",2020,"during",18,7,10,7,1923,"124439 117887 49490 55576 228059 222833 117943 341601 123175 69211 344442 355350"
"Brighton, Sussex, UK",2021,"during",76,34,20,20,6114,"229764 54758 55553 55576 48325 123348 117943 182631 463344 151767 54734 223123 630835 117969 49490 117925 175440 60718 182455 123175 69211 222076 117980 117887"
"Brighton, Sussex, UK",2021,"after",1,0,1,1,175,"49490"
"Brighton, Sussex, UK",2022,"before",1,1,1,1,186,"55576"
"Brighton, Sussex, UK",2022,"during",44,23,14,16,7121,"55576 229764 117867 123348 124439 117943 54758 50252 464002 123175 54757 48325 194686 228059 182631 69207 630835"
"Bristol & Bath City Region, UK",2018,"before",1,1,1,1,190,"55576"
"Bristol & Bath City Region, UK",2018,"during",74,36,36,25,9474,"462306 117943 182631 462309 223123 222838 463176 123894 1232380 117951 775650 1027854 212392 55576 175582 125773 55448 54758 229764 227547 117858 233474 463797 205492 49488 119666 223257 203807 123348 182455 154107 210314 124439 117987 123175 48325 154184 69430 54757 69468 54607 117887"
"Bristol & Bath City Region, UK",2019,"during",149,28,65,31,15181,"123175 223123 117987 55576 233474 462438 232665 54758 341601 233501 462437 229764 69207 228059 229442 207988 228670 404864 124439 182631 1028392 54734 117860 222815 117943 127051 123348 60718 462705 175780 462950 1232380 463071 154184 462306 461454 223132 632126 222860 222844 463176 222838 155093 222835 222833 775650 222798 117969 222076 209662 355350 218522 216213 210315 182455 210314 69430 462951 205492 155082 54735 125773 49490 117867 203807 119666 117951 48325 69211 119778 117887 180500 54294"
"Bristol & Bath City Region, UK",2019,"after",1,0,1,1,347,"117987"
"Bristol & Bath City Region, UK",2020,"during",32,12,19,16,8915,"69430 55576 223123 222838 69211 117987 117867 154129 117938 182631 117942 775650 154184 117887 54294 69730 203807 123175 123348 124439 119666 54757 632126 228059 463344 49490"
"Bristol & Bath City Region, UK",2021,"before",2,1,2,2,502,"532466 144276"
"Bristol & Bath City Region, UK",2021,"during",38,13,17,27,8658,"154184 54758 117980 117987 123175 117867 55576 1019330 117943 463344 229764 223123 217094 175440 119666 222833 117887 775650 182631 124439"
"Bristol & Bath City Region, UK",2021,"after",4,2,4,3,645,"67747 55576 463344 123348"
"Bristol & Bath City Region, UK",2022,"before",1,0,1,1,791,"217100"
"Bristol & Bath City Region, UK",2022,"during",45,26,21,23,8006,"229765 222838 223123 50252 144276 117887 55576 462705 120448 127123 69430 179366 229764 123175 182467 182455 462563 49490 154184 54758 775650 175657 124439 464002"
"Brno, Czech Republic",2020,"during",13,8,7,10,2658,"117971 54734 55576 155090 54294 632126 60718"
"Brno, Czech Republic",2021,"before",2,0,2,1,149,"69430 117943"
"Brno, Czech Republic",2021,"during",38,17,8,19,8034,"124439 55576 49490 532707 54734 155093 54735 155090 632126 117887 182631 203807"
"Brno, Czech Republic",2022,"before",1,1,1,1,184,"54734"
"Brno, Czech Republic",2022,"during",24,16,7,13,5963,"55576 124439 60724 49490 632126 117887 54734 180500"
"Bryan/College Station, Texas, USA",2022,"during",6,2,5,4,1295,"232361 48325 233685 117887 117867"
"Bucaramanga, Santander, Colombia",2021,"during",4,0,4,4,8185,"155090 117867 123230 57807"
"Bucaramanga, Santander, Colombia",2022,"during",17,0,13,9,10823,"217296 117962 175433 229765 463344 121212 117938 462122 176035 229702 123114 194681 117992"
"Buenos Aires, Argentina",2019,"during",2,1,2,2,2664,"117867 205470"
"Buenos Aires, Argentina",2020,"before",1,0,1,1,358,"175944"
"Buenos Aires, Argentina",2021,"during",2,0,2,2,2891,"60724 117943"
"Buenos Aires, Argentina",2021,"after",1,0,1,1,551,"55553"
"Buenos Aires, Argentina",2022,"during",2,0,2,1,1090,"464002 218571"
"Burlington/Winooski, Vermont, USA",2021,"during",7,0,5,6,1936,"155090 69430 117951 148365 154184 117943"
"Burlington/Winooski, Vermont, USA",2021,"after",1,0,1,1,270,"155090"
