"Year","City","Period","Observations.All"
2021,"Cosalá, Sinaloa, México","after",10
2022,"Cosalá, Sinaloa, México","before",24
2022,"Cosalá, Sinaloa, México","during",10883
2022,"Cosalá, Sinaloa, México","after",9
2021,"Orange County, California, USA","before",1493
2021,"Orange County, California, USA","during",3461
2021,"Orange County, California, USA","after",1958
2020,"Orange County, California, USA","before",1133
2020,"Orange County, California, USA","during",4037
2020,"Orange County, California, USA","after",1401
2022,"Orange County, California, USA","before",4633
2022,"Orange County, California, USA","during",2163
2022,"Orange County, California, USA","after",1376
2019,"Cuernavaca, Morelos, México","before",52
2019,"Cuernavaca, Morelos, México","during",910
2019,"Cuernavaca, Morelos, México","after",18
2022,"Cuernavaca, Morelos, México","before",179
2022,"Cuernavaca, Morelos, México","during",4414
2022,"Cuernavaca, Morelos, México","after",76
2021,"Cuernavaca, Morelos, México","before",121
2021,"Cuernavaca, Morelos, México","during",7494
2021,"Cuernavaca, Morelos, México","after",85
2022,"Culiacán, Sinaloa, México","before",151
2022,"Culiacán, Sinaloa, México","during",11686
2022,"Culiacán, Sinaloa, México","after",151
2021,"Curitiba, Paraná, Brazil","before",215
2021,"Curitiba, Paraná, Brazil","during",3797
2021,"Curitiba, Paraná, Brazil","after",194
2018,"Curitiba, Paraná, Brazil","before",31
2018,"Curitiba, Paraná, Brazil","during",911
2018,"Curitiba, Paraná, Brazil","after",158
2020,"Curitiba, Paraná, Brazil","before",89
2020,"Curitiba, Paraná, Brazil","during",2451
2020,"Curitiba, Paraná, Brazil","after",140
2022,"Curitiba, Paraná, Brazil","before",245
2022,"Curitiba, Paraná, Brazil","during",2400
2022,"Curitiba, Paraná, Brazil","after",193
2019,"Curitiba, Paraná, Brazil","before",107
2019,"Curitiba, Paraná, Brazil","during",75
2019,"Curitiba, Paraná, Brazil","after",27
2019,"Dallas-Fort Worth, Texas, USA","before",3308
2019,"Dallas-Fort Worth, Texas, USA","during",36538
2019,"Dallas-Fort Worth, Texas, USA","after",3195
2021,"Dallas-Fort Worth, Texas, USA","before",6803
2021,"Dallas-Fort Worth, Texas, USA","during",37700
2021,"Dallas-Fort Worth, Texas, USA","after",6061
2020,"Dallas-Fort Worth, Texas, USA","before",5277
2020,"Dallas-Fort Worth, Texas, USA","during",32836
2020,"Dallas-Fort Worth, Texas, USA","after",7681
2018,"Dallas-Fort Worth, Texas, USA","before",2903
2018,"Dallas-Fort Worth, Texas, USA","during",35074
2018,"Dallas-Fort Worth, Texas, USA","after",2533
2022,"Dallas-Fort Worth, Texas, USA","before",7204
2022,"Dallas-Fort Worth, Texas, USA","during",42147
2022,"Dallas-Fort Worth, Texas, USA","after",6026
2020,"Davao City, Philippines","before",23
2020,"Davao City, Philippines","during",3601
2020,"Davao City, Philippines","after",16
2021,"Davao City, Philippines","before",3
2021,"Davao City, Philippines","during",4395
2021,"Davao City, Philippines","after",1224
2022,"Davao City, Philippines","before",51
2022,"Davao City, Philippines","during",3626
