"id","taxonID","identifier","parentNameUsageID","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","modified","scientificName","taxonRank","references"
1138182,"https://www.inaturalist.org/taxa/1138182","https://www.inaturalist.org/taxa/1138182","https://www.inaturalist.org/taxa/1094690","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Remototrachyna","","","2020-10-06T14:06:22Z","Remototrachyna","genus","https://eol.org/pages/21307789"
1138183,"https://www.inaturalist.org/taxa/1138183","https://www.inaturalist.org/taxa/1138183","https://www.inaturalist.org/taxa/1138182","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Remototrachyna","sipmaniana","","2020-10-06T02:40:16Z","Remototrachyna sipmaniana","species","https://eol.org/pages/42878022"
1138184,"https://www.inaturalist.org/taxa/1138184","https://www.inaturalist.org/taxa/1138184","https://www.inaturalist.org/taxa/1138182","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Remototrachyna","koyaensis","","2020-10-06T02:40:16Z","Remototrachyna koyaensis","species","https://eol.org/pages/35424730"
1138185,"https://www.inaturalist.org/taxa/1138185","https://www.inaturalist.org/taxa/1138185","https://www.inaturalist.org/taxa/1138182","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Remototrachyna","infirma","","2020-10-06T02:40:16Z","Remototrachyna infirma","species","https://eol.org/pages/6573102"
1138186,"https://www.inaturalist.org/taxa/1138186","https://www.inaturalist.org/taxa/1138186","https://www.inaturalist.org/taxa/1138182","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Remototrachyna","adducta","","2020-10-06T02:40:16Z","Remototrachyna adducta","species","https://eol.org/pages/35424722"
1138187,"https://www.inaturalist.org/taxa/1138187","https://www.inaturalist.org/taxa/1138187","https://www.inaturalist.org/taxa/1138182","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Remototrachyna","kingii","","2020-10-06T02:40:16Z","Remototrachyna kingii","species","https://eol.org/pages/6567997"
1138188,"https://www.inaturalist.org/taxa/1138188","https://www.inaturalist.org/taxa/1138188","https://www.inaturalist.org/taxa/1138182","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Remototrachyna","costaricensis","","2020-10-06T02:40:16Z","Remototrachyna costaricensis","species","https://eol.org/pages/195196"
1138189,"https://www.inaturalist.org/taxa/1138189","https://www.inaturalist.org/taxa/1138189","https://www.inaturalist.org/taxa/1138182","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Remototrachyna","crenata","","2020-10-06T02:40:16Z","Remototrachyna crenata","species","https://eol.org/pages/6567377"
1138190,"https://www.inaturalist.org/taxa/1138190","https://www.inaturalist.org/taxa/1138190","https://www.inaturalist.org/taxa/1138182","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Remototrachyna","rhabdiformis","","2020-10-06T02:40:16Z","Remototrachyna rhabdiformis","species","https://eol.org/pages/6573175"
1138191,"https://www.inaturalist.org/taxa/1138191","https://www.inaturalist.org/taxa/1138191","https://www.inaturalist.org/taxa/1138182","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Remototrachyna","scytophylla","","2020-10-06T02:40:16Z","Remototrachyna scytophylla","species","https://eol.org/pages/6573180"
1138220,"https://www.inaturalist.org/taxa/1138220","https://www.inaturalist.org/taxa/1138220","https://www.inaturalist.org/taxa/175974","Animalia","Arthropoda","Insecta","Lepidoptera","Depressariidae","Cryptolechia","triphaenatella","","2020-10-06T04:27:16Z","Cryptolechia triphaenatella","species","https://eol.org/pages/24427461"
1139945,"https://www.inaturalist.org/taxa/1139945","https://www.inaturalist.org/taxa/1139945","https://www.inaturalist.org/taxa/117867","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Parmotrema","yodae","","2020-10-11T16:29:00Z","Parmotrema yodae","species","https://eol.org/pages/6569801"
