"Family","Genus","Authority","id","taxonID","identifier","parentNameUsageID","kingdom","phylum","class","order","family","specificEpithet","infraspecificEpithet","modified","scientificName","taxonRank","references"
"Brigantiaeaceae","Brigantiaea","Trevis.",175173,"https://www.inaturalist.org/taxa/175173","https://www.inaturalist.org/taxa/175173","https://www.inaturalist.org/taxa/175184","Fungi","Ascomycota","Lecanoromycetes","Teloschistales","Brigantiaeaceae","","","2012-10-23T22:28:49Z","Brigantiaea","genus","http://www.ubio.org/browser/details.php?namebankID=2560865"
"Caliciaceae","Acolium","(Ach.) Grev.",1027172,"https://www.inaturalist.org/taxa/1027172","https://www.inaturalist.org/taxa/1027172","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2020-02-04T05:20:05Z","Acolium","genus","http://www.indexfungorum.org"
"Caliciaceae","Acroscyphus","Lév.",174693,"https://www.inaturalist.org/taxa/174693","https://www.inaturalist.org/taxa/174693","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2012-10-23T21:32:00Z","Acroscyphus","genus","http://www.ubio.org/browser/details.php?namebankID=235976"
"Caliciaceae","Allocalicium","M. Prieto & Wedin",1026744,"https://www.inaturalist.org/taxa/1026744","https://www.inaturalist.org/taxa/1026744","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2022-06-16T19:26:27Z","Allocalicium","genus","https://eol.org/pages/52239751"
"Caliciaceae","Amandinea","M. Choisy ex Scheid. & H. Mayrhofer",155084,"https://www.inaturalist.org/taxa/155084","https://www.inaturalist.org/taxa/155084","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2020-02-04T06:00:38Z","Amandinea","genus","http://www.ubio.org/browser/details.php?namebankID=2561037"
"Caliciaceae","Baculifera","Marbach & Kalb",462435,"https://www.inaturalist.org/taxa/462435","https://www.inaturalist.org/taxa/462435","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2015-05-11T07:44:10Z","Baculifera","genus","http://www.catalogueoflife.org/annual-checklist/2012/browse/tree/id/2390351"
"Caliciaceae","Buellia","De Not.",117925,"https://www.inaturalist.org/taxa/117925","https://www.inaturalist.org/taxa/117925","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2019-08-27T02:12:21Z","Buellia","genus","http://www.catalogueoflife.org/annual-checklist/2010/browse/tree/id/2267258"
"Caliciaceae","Calicium","Pers.",117924,"https://www.inaturalist.org/taxa/117924","https://www.inaturalist.org/taxa/117924","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2019-08-27T02:12:23Z","Calicium","genus","http://www.catalogueoflife.org/annual-checklist/2010/browse/tree/id/2267739"
"Caliciaceae","Chrismofulvea","Marbach",462693,"https://www.inaturalist.org/taxa/462693","https://www.inaturalist.org/taxa/462693","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2015-05-11T08:36:18Z","Chrismofulvea","genus","http://www.catalogueoflife.org/annual-checklist/2012/browse/tree/id/2390350"
"Caliciaceae","Ciposia","Marbach",462702,"https://www.inaturalist.org/taxa/462702","https://www.inaturalist.org/taxa/462702","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2015-05-11T08:37:45Z","Ciposia","genus","http://www.catalogueoflife.org/annual-checklist/2012/browse/tree/id/2390349"
"Caliciaceae","Cratiria","Marbach",462782,"https://www.inaturalist.org/taxa/462782","https://www.inaturalist.org/taxa/462782","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2015-05-11T08:53:25Z","Cratiria","genus","http://www.catalogueoflife.org/annual-checklist/2012/browse/tree/id/2390347"
"Caliciaceae","Dermatiscum","Nyl.",507468,"https://www.inaturalist.org/taxa/507468","https://www.inaturalist.org/taxa/507468","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2016-09-14T13:45:42Z","Dermatiscum","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2432476"
"Caliciaceae","Dermiscellum","Hafellner, H. Mayrhofer & Poelt",175876,"https://www.inaturalist.org/taxa/175876","https://www.inaturalist.org/taxa/175876","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2018-11-07T08:20:58Z","Dermiscellum","genus","http://www.ubio.org/browser/details.php?namebankID=4885677"
"Caliciaceae","Dimelaena","Norman",175859,"https://www.inaturalist.org/taxa/175859","https://www.inaturalist.org/taxa/175859","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2021-01-27T03:21:15Z","Dimelaena","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2378723"
"Caliciaceae","Diploicia","A. Massal.",176033,"https://www.inaturalist.org/taxa/176033","https://www.inaturalist.org/taxa/176033","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2019-11-23T03:46:00Z","Diploicia","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2378728"
"Caliciaceae","Diplotomma","Flot.",175848,"https://www.inaturalist.org/taxa/175848","https://www.inaturalist.org/taxa/175848","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2019-08-27T02:12:27Z","Diplotomma","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2378730"
"Caliciaceae","Dirinaria","(Tuck.) Clem.",175845,"https://www.inaturalist.org/taxa/175845","https://www.inaturalist.org/taxa/175845","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2021-01-27T03:23:10Z","Dirinaria","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2378736"
"Caliciaceae","Endohyalina","Marbach",462881,"https://www.inaturalist.org/taxa/462881","https://www.inaturalist.org/taxa/462881","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2015-05-11T09:15:07Z","Endohyalina","genus","http://www.catalogueoflife.org/annual-checklist/2012/browse/tree/id/2389201"
"Caliciaceae","Gassicurtia","Fée",462971,"https://www.inaturalist.org/taxa/462971","https://www.inaturalist.org/taxa/462971","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2018-11-07T08:16:22Z","Gassicurtia","genus","http://www.catalogueoflife.org/annual-checklist/2012/browse/tree/id/2456228"
"Caliciaceae","Monerolechia","Trevis.",717688,"https://www.inaturalist.org/taxa/717688","https://www.inaturalist.org/taxa/717688","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2018-11-07T08:15:14Z","Monerolechia","genus",""
"Caliciaceae","Orcularia","(Malme) Kalb & Giralt",466103,"https://www.inaturalist.org/taxa/466103","https://www.inaturalist.org/taxa/466103","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2015-06-11T18:46:33Z","Orcularia","genus","http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm"
"Caliciaceae","Pseudothelomma","M. Prieto & Wedin",1039174,"https://www.inaturalist.org/taxa/1039174","https://www.inaturalist.org/taxa/1039174","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2020-02-21T02:24:33Z","Pseudothelomma","genus","https://eol.org/pages/52239753"
"Caliciaceae","Pyxine","Fr.",175247,"https://www.inaturalist.org/taxa/175247","https://www.inaturalist.org/taxa/175247","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2020-06-17T14:49:50Z","Pyxine","genus","http://www.ubio.org/browser/details.php?namebankID=2561054"
"Caliciaceae","Redonia","C.W. Dodge",1239810,"https://www.inaturalist.org/taxa/1239810","https://www.inaturalist.org/taxa/1239810","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2021-05-13T21:04:16Z","Redonia","genus","http://www.indexfungorum.org/names/names.asp"
"Caliciaceae","Santessonia","Hale & Vobis",920183,"https://www.inaturalist.org/taxa/920183","https://www.inaturalist.org/taxa/920183","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2019-08-11T10:15:40Z","Santessonia","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2455438"
"Caliciaceae","Sculptolumina","Marbach",532293,"https://www.inaturalist.org/taxa/532293","https://www.inaturalist.org/taxa/532293","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2017-02-18T08:03:47Z","Sculptolumina","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2390343"
"Caliciaceae","Stigmatochroma","Marbach",1126251,"https://www.inaturalist.org/taxa/1126251","https://www.inaturalist.org/taxa/1126251","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2020-09-03T21:51:10Z","Stigmatochroma","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2389772"
"Caliciaceae","Tetramelas","Norman",462522,"https://www.inaturalist.org/taxa/462522","https://www.inaturalist.org/taxa/462522","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2018-11-07T08:12:43Z","Tetramelas","genus","http://www.catalogueoflife.org/annual-checklist/2012/browse/tree/id/2432436"
"Caliciaceae","Texosporium","Nadv. ex Tibell & Hofsten",174831,"https://www.inaturalist.org/taxa/174831","https://www.inaturalist.org/taxa/174831","https://www.inaturalist.org/taxa/117923","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Caliciaceae","","","2018-11-07T08:11:49Z","Texosporium","genus","http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2432438"
